iter	Passed	Remaining
202	12485	49019
203	12548	48964
204	12608	48898
205	12675	48856
206	12755	48864
207	12828	48846
208	12910	48861
209	12992	48877
210	13076	48897
211	13152	48889
212	13230	48882
213	13298	48844
214	13352	48750
215	13435	48764
216	13514	48763
217	13578	48709
218	13646	48665
219	13715	48627
220	13776	48562
221	13883	48653
222	13990	48748
223	14108	48875
224	14182	48852
225	14253	48815
226	14328	48792
227	14390	48725
228	14462	48690
229	14532	48652
230	14593	48582
231	14652	48506
232	14719	48455
233	14778	48377
234	14840	48310
235	14904	48248
236	14970	48194
237	15025	48108
238	15087	48040
239	15152	47983
240	15222	47940
241	15275	47846
242	15338	47783
243	15392	47690
244	15467	47666
245	15536	47619
246	15606	47577
247	15673	47525
248	15750	47506
249	15817	47453
250	15878	47382
251	15943	47325
252	16004	47255
253	16066	47187
254	16131	47130
255	16188	47047
256	16253	46990
257	16318	46932
258	16373	46844
259	16436	46779
260	16497	46711
261	16569	46672
262	16650	46658
263	16733	46651
264	16806	46613
265	16891	46610
266	16970	46588
267	17044	46553
268	17150	46606
269	17261	46669
270	17330	46620
271	17379	46516
272	17428	46411
273	17475	46304
274	17527	46208
275	17578	46112
276	17628	46013
277	17676	45906
278	17726	45809
279	17769	45693
280	17820	45597
281	17870	45499
282	17921	45404
283	17976	45321
284	18030	45234
285	18083	45146
286	18137	45058
287	18186	44960
288	18235	44862
289	18282	44759
290	18325	44649
291	18370	44541
292	18421	44451
293	18464	44341
294	18515	44249
295	18557	44137
296	18606	44042
297	18656	43949
298	18703	43850
299	18749	43747
300	18801	43660
301	18847	43561
302	18892	43458
303	18937	43357
304	18983	43258
305	19028	43156
306	19074	43056
307	19126	42972
308	19173	42876
309	19223	42787
310	19271	42695
311	19322	42608
312	19369	42513
313	19414	42415
314	19466	42332
315	19518	42247
316	19567	42159
317	19619	42076
318	19666	41985
319	19718	41902
320	19765	41808
321	19815	41722
322	19862	41631
323	19915	41551
324	19958	41451
325	20006	41363
326	20058	41282
327	20110	41201
328	20160	41118
329	20209	41031
330	20264	40957
331	20316	40878
332	20367	40795
333	20423	40725
334	20477	40648
335	20530	40571
336	20577	40482
337	20632	40409
338	20733	40428
339	20812	40401
340	20871	40335
341	20941	40290
342	21009	40242
343	21068	40176
344	21123	40104
345	21186	40046
346	21244	39979
347	21304	39916
348	21375	39873
349	21440	39817
350	21500	39753
351	21569	39708
352	21633	39651
353	21698	39596
354	21778	39569
355	21840	39509
356	21901	39447
357	21972	39403
358	22034	39343
359	22086	39264
360	22152	39211
361	22226	39172
362	22299	39132
363	22353	39056
364	22402	38974
365	22449	38888
366	22497	38804
367	22547	38723
368	22597	38642
369	22651	38568
370	22702	38489
371	22765	38432
372	22820	38361
373	22873	38286
374	22929	38216
375	22978	38134
376	23033	38062
377	23085	37987
378	23146	37926
379	23198	37850
380	23254	37780
381	23305	37703
382	23362	37636
383	23414	37560
384	23465	37483
385	23512	37400
386	23564	37325
387	23613	37246
388	23672	37182
389	23730	37116
390	23775	37031
391	23827	36957
392	23877	36879
393	23925	36799
394	23981	36731
395	24049	36681
396	24099	36603
397	24151	36530
398	24198	36449
399	24246	36369
400	24290	36283
401	24344	36213
402	24397	36142
403	24450	36070
404	24507	36004
405	24561	35934
406	24617	35867
407	24680	35811
408	24731	35737
409	24794	35679
410	24847	35609
411	24906	35545
412	24961	35477
413	25016	35410
414	25078	35351
415	25135	35285
416	25204	35237
417	25281	35200
418	25343	35141
419	25396	35071
420	25498	35067
421	25560	35008
422	25646	34984
423	25711	34928
424	25787	34888
425	25846	34826
426	25895	34750
427	25946	34675
428	26006	34614
429	26067	34554
430	26119	34482
431	26177	34418
432	26222	34337
433	26272	34262
434	26317	34182
435	26366	34107
436	26417	34035
437	26468	33961
438	26517	33887
439	26567	33813
440	26614	33735
441	26661	33659
442	26717	33593
443	26767	33519
444	26818	33447
445	26870	33376
446	26917	33300
447	26981	33244
448	27036	33178
449	27091	33111
450	27142	33040
451	27205	32983
452	27271	32930
453	27326	32864
454	27390	32808
455	27456	32754
456	27521	32700
457	27586	32646
458	27655	32595
459	27715	32535
460	27767	32465
461	27814	32389
462	27872	32327
463	27928	32261
464	27988	32202
465	28042	32134
466	28093	32063
467	28137	31985
468	28184	31910
469	28231	31835
470	28282	31764
471	28348	31711
472	28418	31662
473	28485	31610
474	28545	31549
475	28596	31480
476	28645	31407
477	28699	31340
478	28766	31288
479	28827	31230
480	28881	31163
481	28929	31090
482	28987	31027
483	29033	30952
484	29084	30883
485	29137	30815
486	29189	30747
487	29242	30680
488	29288	30606
489	29338	30536
490	29390	30468
491	29434	30391
492	29480	30317
493	29526	30244
494	29575	30173
495	29624	30102
496	29668	30026
497	29718	29956
498	29769	29888
499	29817	29817
500	29863	29744
501	29918	29680
502	29972	29614
503	30024	29547
504	30093	29497
505	30148	29433
506	30193	29360
507	30248	29295
508	30299	29227
509	30339	29149
510	30390	29081
511	30437	29010
512	30490	28945
513	30536	28872
514	30583	28801
515	30629	28730
516	30673	28656
517	30736	28600
518	30798	28543
519	30851	28478
520	30901	28410
521	30943	28335
522	31000	28273
523	31048	28204
524	31088	28128
525	31134	28056
526	31185	27989
527	31232	27919
528	31274	27845
529	31318	27773
530	31364	27702
531	31411	27632
532	31453	27558
533	31505	27493
534	31551	27423
535	31601	27356
536	31646	27285
537	31693	27216
538	31737	27144
539	31798	27087
540	31846	27019
541	31917	26970
542	31969	26906
543	32022	26842
544	32065	26770
545	32113	26702
546	32162	26635
547	32206	26564
548	32260	26501
549	32314	26438
550	32363	26372
551	32415	26307
552	32460	26238
553	32510	26173
554	32556	26104
555	32612	26043
556	32661	25976
557	32709	25910
558	32757	25842
559	32810	25779
560	32859	25713
561	32910	25649
562	32959	25583
563	33009	25518
564	33062	25455
565	33120	25396
566	33178	25337
567	33229	25272
568	33287	25214
569	33356	25163
570	33410	25101
571	33456	25033
572	33499	24963
573	33544	24895
574	33592	24829
575	33639	24762
576	33679	24690
577	33731	24627
578	33778	24560
579	33842	24506
580	33892	24442
581	33944	24379
582	33991	24312
583	34039	24247
584	34081	24177
585	34129	24112
586	34183	24050
587	34238	23990
588	34295	23930
589	34359	23876
590	34406	23811
591	34451	23743
592	34501	23679
593	34545	23611
594	34588	23543
595	34639	23480
596	34691	23417
597	34750	23360
598	34804	23299
599	34852	23235
600	34899	23169
601	34949	23106
602	35001	23044
603	35048	22979
604	35095	22913
605	35143	22849
606	35188	22782
607	35242	22722
608	35284	22653
609	35334	22590
610	35381	22526
611	35433	22464
612	35481	22400
613	35528	22335
614	35579	22273
615	35632	22212
616	35682	22150
617	35741	22092
618	35790	22029
619	35855	21975
620	35909	21915
621	35959	21852
622	36011	21791
623	36061	21729
624	36111	21666
625	36161	21604
626	36207	21539
627	36261	21479
628	36324	21424
629	36371	21361
630	36413	21293
631	36460	21230
632	36508	21166
633	36557	21104
634	36608	21042
635	36654	20978
636	36703	20915
637	36750	20851
638	36796	20788
639	36842	20724
640	36892	20661
641	36936	20597
642	36986	20535
643	37053	20482
644	37108	20423
645	37167	20367
646	37224	20309
647	37276	20248
648	37325	20186
649	37373	20123
650	37420	20061
651	37470	19999
652	37520	19938
653	37561	19872
654	37607	19808
655	37668	19752
656	37720	19692
657	37769	19630
658	37819	19569
659	37870	19509
660	37930	19453
661	38042	19423
662	38107	19369
663	38173	19316
664	38223	19255
665	38282	19198
666	38340	19141
667	38406	19088
668	38536	19066
669	38653	19038
670	38786	19017
671	38847	18961
672	38903	18902
673	38958	18843
674	39011	18783
675	39069	18725
676	39124	18666
677	39181	18608
678	39233	18547
679	39289	18488
680	39335	18425
681	39393	18368
682	39457	18313
683	39509	18252
684	39565	18194
685	39624	18137
686	39683	18080
687	39746	18024
688	39797	17963
689	39848	17902
690	39906	17845
691	39955	17783
692	40003	17721
693	40052	17659
694	40103	17599
695	40155	17539
696	40216	17482
697	40270	17423
698	40319	17362
699	40369	17301
700	40418	17239
701	40468	17179
702	40519	17118
703	40567	17056
704	40618	16996
705	40671	16936
706	40739	16883
707	40794	16824
708	40851	16767
709	40908	16709
710	40976	16655
711	41034	16598
712	41095	16541
713	41156	16485
714	41209	16426
715	41293	16379
716	41356	16323
717	41414	16265
718	41467	16206
719	41516	16145
720	41569	16085
721	41621	16026
722	41670	15965
723	41718	15903
724	41773	15845
725	41831	15787
726	41888	15729
727	41976	15683
728	42031	15625
729	42092	15568
730	42145	15509
731	42200	15450
732	42252	15390
733	42311	15333
734	42363	15273
735	42413	15213
736	42456	15150
737	42508	15091
738	42558	15030
739	42616	14973
740	42667	14913
741	42732	14858
742	42786	14799
743	42844	14742
744	42902	14684
745	42960	14627
746	43029	14573
747	43083	14514
748	43137	14456
749	43196	14398
750	43248	14339
751	43307	14282
752	43360	14223
753	43422	14167
754	43476	14108
755	43544	14053
756	43614	14000
757	43663	13939
758	43722	13882
759	43788	13828
760	43859	13774
761	43961	13730
762	44023	13674
763	44095	13621
764	44162	13566
765	44219	13508
766	44267	13447
767	44327	13390
768	44377	13330
769	44433	13272
770	44490	13214
771	44540	13154
772	44602	13098
773	44656	13039
774	44714	12981
775	44771	12923
776	44823	12864
777	44886	12808
778	44942	12750
779	45007	12694
780	45055	12633
781	45104	12573
782	45152	12513
783	45200	12453
784	45249	12393
785	45307	12335
786	45357	12275
787	45415	12218
788	45468	12159
789	45521	12100
790	45582	12043
791	45634	11984
792	45702	11929
793	45764	11873
794	45814	11813
795	45898	11762
796	45954	11704
797	46019	11648
798	46145	11608
799	46314	11578
800	46412	11530
801	46500	11480
802	46578	11427
803	46748	11396
804	46815	11340
805	46897	11288
806	46962	11231
807	47029	11175
808	47101	11120
809	47181	11067
810	47262	11014
811	47345	10961
812	47411	10905
813	47475	10848
814	47539	10791
815	47597	10732
816	47662	10675
817	47737	10621
818	47807	10565
819	47890	10512
820	47963	10457
821	48044	10403
822	48119	10348
823	48199	10294
824	48290	10243
825	48359	10187
826	48425	10130
827	48491	10073
828	48555	10015
829	48622	9958
830	48687	9901
831	48752	9844
832	48836	9790
833	48903	9733
834	48985	9679
835	49059	9624
836	49139	9569
837	49213	9513
838	49286	9457
839	49365	9402
840	49448	9348
841	49517	9291
842	49586	9234
843	49652	9177
844	49715	9119
845	49779	9061
846	49845	9003
847	49903	8944
848	49966	8886
849	50032	8829
850	50103	8772
851	50175	8715
852	50231	8656
853	50300	8599
854	50378	8543
855	50446	8486
856	50510	8428
857	50566	8368
858	50628	8310
859	50691	8252
860	50749	8193
861	50811	8134
862	50875	8076
863	50931	8016
864	51003	7960
865	51073	7902
866	51138	7844
867	51195	7785
868	51252	7726
869	51308	7666
870	51373	7608
871	51437	7550
872	51503	7492
873	51560	7433
874	51624	7374
875	51690	7316
876	51782	7262
877	51865	7206
878	51974	7154
879	52105	7105
880	52223	7053
881	52307	6998
882	52378	6940
883	52447	6882
884	52517	6824
885	52584	6765
886	52652	6707
887	52717	6649
888	52790	6591
889	52857	6532
890	52935	6475
891	53018	6419
892	53097	6362
893	53178	6305
894	53251	6247
895	53327	6189
896	53398	6131
897	53465	6072
898	53531	6014
899	53600	5955
900	53666	5896
901	53738	5838
902	53815	5780
903	53892	5723
904	53964	5664
905	54033	5606
906	54101	5547
907	54170	5488
908	54248	5430
909	54323	5372
910	54406	5315
911	54472	5256
912	54546	5197
913	54609	5138
914	54674	5079
915	54733	5019
916	54794	4959
917	54856	4900
918	54922	4840
919	54975	4780
920	55039	4721
921	55094	4660
922	55158	4601
923	55227	4542
924	55288	4482
925	55344	4422
926	55406	4363
927	55460	4302
928	55521	4243
929	55574	4183
930	55642	4123
931	55702	4064
932	55757	4004
933	55823	3944
934	55875	3884
935	55946	3825
936	56008	3765
937	56071	3706
938	56135	3646
939	56190	3586
940	56254	3527
941	56308	3466
942	56368	3407
943	56425	3347
944	56488	3287
945	56548	3227
946	56611	3168
947	56666	3108
948	56732	3048
949	56806	2989
950	56882	2930
951	56935	2870
952	56984	2810
953	57036	2750
954	57086	2689
955	57135	2629
956	57182	2569
957	57227	2508
958	57276	2448
959	57325	2388
960	57370	2328
961	57419	2268
962	57462	2207
963	57509	2147
964	57556	2087
965	57606	2027
966	57660	1967
967	57707	1907
968	57759	1847
969	57813	1788
970	57865	1728
971	57916	1668
972	57972	1608
973	58030	1549
974	58079	1489
975	58129	1429
976	58198	1370
977	58297	1311
978	58364	1251
979	58411	1192
980	58459	1132
981	58508	1072
982	58552	1012
983	58603	952
984	58645	893
985	58694	833
986	58779	774
987	58867	714
988	58927	655
989	58987	595
990	59044	536
991	59102	476
992	59169	417
993	59241	357
994	59329	298
995	59404	238
996	59492	179
997	59571	119
998	59658	59
999	59741	0
